word	ruby	meaning	level
因果連鎖	いんがれんさ	原因と結果が連続してつながること	1
説明枠組み	せつめいわくぐみ	物事を理解するための基本的な考え方	1
解釈枠組み	かいしゃくわくぐみ	意味を読み取るための視点や基準	1
認識構造	にんしきこうぞう	物事を理解する際の内的な仕組み	1
思考枠組み	しこうわくぐみ	考え方を方向づける基本的な型	1
価値体系	かちたいけい	価値判断の基準が体系化されたもの	1
評価基準	ひょうかきじゅん	物事を判断するための尺度	1
判断枠組み	はんだんわくぐみ	意思決定を行う際の基準となる考え方	1
意味構造	いみこうぞう	意味がどのように組み立てられているかという仕組み	1
文脈構造	ぶんみゃくこうぞう	前後関係によって成り立つ意味のつながり	1
論理構造	ろんりこうぞう	議論の筋道や構成のあり方	1
言説	げんせつ	ある立場や価値観に基づいて語られる考えや議論	1
レトリック	れとりっく	表現を効果的にするための言い回しや技法	1
身体性	しんたいせい	身体を通して感じたり行動したりする性質	1
匿名性	とくめいせい	個人が特定されない性質	1
共同体	きょうどうたい	共通の目的や意識を持つ人々の集まり	1
他者性	たしゃせい	自分とは異なる存在としての性質	1
差異	さい	互いの違い	1
同一性	どういつせい	同じであり続ける性質	1
自己像	じこぞう	自分について抱いているイメージ	1
視座	しざ	物事を見る立場や観点	1
視野	しや	見える範囲や考えの広がり	1
射程	しゃてい	議論や影響が及ぶ範囲	1
位相	いそう	物事のあり方や局面	1
領域	りょういき	一定の範囲や分野	1
境界	きょうかい	物事を分ける境目	1
越境	えっきょう	分野や立場の境界を越えること	1
横断	おうだん	複数の分野にまたがること	1
断片	だんぺん	全体の一部分	1
総体	そうたい	全体をまとめたもの	1
位階	いかい	上下関係による段階	1
序列	じょれつ	順位づけされた並び	1
権威	けんい	社会的に認められた力や威信	1
権力	けんりょく	他者を従わせる力	1
支配構造	しはいこうぞう	支配関係が成り立つ仕組み	1
欲望	よくぼう	強く求める心の動き	1
欲求	よっきゅう	満たしたいと望む気持ち	1
消費社会	しょうひしゃかい	消費活動を中心に成り立つ社会	1
大衆化	たいしゅうか	一部のものが広く一般に広がること	1
均一化	きんいつか	違いがなくなり同じになること	1
情報化	じょうほうか	情報が社会の中心的役割を持つこと	1
可視化	かしか	見えにくいものを見える形にすること	1
不可視	ふかし	目に見えないこと	1
身体感覚	しんたいかんかく	身体を通して得る感覚	1
知性	ちせい	論理的に考える能力	1
感性	かんせい	物事を感じ取る能力	1
知覚像	ちかくぞう	感覚を通して頭の中に作られるイメージ	1
表現形式	ひょうげんけいしき	内容を表す方法や型	1
言語活動	げんごかつどう	言葉を用いた表現や伝達の行為	1
伝達	でんたつ	情報や考えを伝えること	1
伝承	でんしょう	文化や知識を受け継いで伝えること	1
記号	きごう	意味を表すしるし	1
象形	しょうけい	形をまねて表した文字や表現	1
表記	ひょうき	文字や記号で表すこと	1
音声言語	おんせいげんご	声によって伝えられる言語	1
書記言語	しょきげんご	文字によって記録される言語	1
沈黙	ちんもく	あえて語らないこと	1
対話	たいわ	互いに話し合うこと	1
応答	おうとう	問いかけに答えること	1
発話	はつわ	言葉を発すること	1
語り	かたり	出来事や考えを言葉で表すこと	1
物語性	ものがたりせい	物語として展開する性質	1
時間感覚	じかんかんかく	時間をどのように感じるかという感覚	1
空間認識	くうかんにんしき	位置や広がりを理解すること	1
空間性	くうかんせい	空間に関わる性質	1
共同幻想	きょうどうげんそう	集団で共有される思い込みや価値観	1
関係性	かんけいせい	互いのつながり方	1
連帯	れんたい	共通の目的のために結びつくこと	1
孤立	こりつ	他とのつながりを失うこと	1
疎外	そがい	本来のつながりから切り離されること	1
疎通	そつう	互いに理解し合うこと	1
同調	どうちょう	他に合わせて行動すること	1
共感	きょうかん	相手の感情や考えを共有すること	1
反発	はんぱつ	反対して抵抗すること	1
摩擦	まさつ	意見や利害の衝突	1
葛藤	かっとう	対立する感情や考えで悩むこと	1
緊張関係	きんちょうかんけい	対立や不安定さを含む関係	1
二項対立	にこうたいりつ	二つの概念を対立的に捉える考え方	1
二元論	にげんろん	世界を二つの原理で説明する考え方	1
脱構築	だつこうちく	既存の考え方や構造を問い直すこと	1
再生産	さいせいさん	同じ構造や価値観が繰り返されること	1
利便性	りべんせい	便利で使いやすい性質	1
合理性	ごうりせい	無駄がなく理にかなっている性質	1
非合理	ひごうり	理屈だけでは説明できないこと	1
個別性	こべつせい	それぞれ固有である性質	1
主体化	しゅたいか	自ら考え行動する存在になること	1
客体化	きゃくたいか	対象として扱われること	1
批評性	ひひょうせい	物事を分析し評価しようとする性質	1
思索	しさく	深く考えること	1
単純化	たんじゅんか	複雑なものを簡単にすること	1
複雑化	ふくざつか	入り組んで分かりにくくなること	1
概念化	がいねんか	物事を抽象的に整理すること	1
象徴化	しょうちょうか	具体物に抽象的意味を持たせること	1
形象	けいしょう	感覚的に捉えられる姿やイメージ	1
虚構	きょこう	作り事として構成されたもの	1
現実認識	げんじつにんしき	現実をどのように理解するかという考え	1
知識体系	ちしきたいけい	知識が整理され構造化されたもの	1
論理展開	ろんりてんかい	筋道立てて議論を進めること	1
推敲	すいこう	文章を練り直して改善すること	1
文体	ぶんたい	文章の表現上の特徴	1
語用論	ごようろん	言葉の使われ方や文脈を研究する考え方	1
意味作用	いみさよう	言葉や表現が意味を生み出す働き	1
読解	どっかい	文章を読み取って理解すること	1
解像度	かいぞうど	物事を細かく明確に捉える度合い	1
立脚点	りっきゃくてん	考え方の基盤となる立場	1
認識論	にんしきろん	人間がどのように物事を知るかを考える学問	1
存在論	そんざいろん	存在とは何かを考える学問	1
方法論	ほうほうろん	研究や思考の進め方についての理論	1
経験論	けいけんろん	経験を知識の基礎とする考え方	1
観念論	かんねんろん	精神や観念を重視する考え方	1
実存	じつぞん	現実に存在する人間そのもののあり方	1
身体論	しんたいろん	身体について考察する理論	1
メディア論	めでぃあろん	情報媒体の役割や影響を考える理論	1
公共圏	こうきょうけん	社会的議論が行われる共有空間	1
集合意識	しゅうごういしき	集団で共有される意識や価値観	1
制度疲労	せいどひろう	制度が時代に合わなくなって機能低下すること	1
閉塞感	へいそくかん	行き詰まりを感じる感覚	1
流動化	りゅうどうか	固定されず変化しやすくなること	1
階層化	かいそうか	上下の段階構造が形成されること	1
相対主義	そうたいしゅぎ	価値は絶対ではなく立場によって変わるとする考え	1
価値観	かちかん	何を重要と考えるかという基準	1
人間観	にんげんかん	人間をどう捉えるかという考え	1
世界観	せかいかん	世界全体についての捉え方	1
自然観	しぜんかん	自然をどう理解するかという考え	1
倫理観	りんりかん	善悪についての考え方	1
死生観	しせいかん	生と死をどう捉えるかという考え	1
概括	がいかつ	内容の全体を大まかにまとめること	1
敷衍	ふえん	意味や内容を広げて詳しく説明すること	1
捨象	しゃしょう	本質でない要素を除いて考えること	1
措定	そてい	ある事柄を前提として定めること	1
準拠	じゅんきょ	基準や手本に従うこと	1
援用	えんよう	ある考えや方法を別の場面に用いること	1
峻別	しゅんべつ	違いを明確にして厳しく区別すること	1
相克	そうこく	互いに対立し争うこと	1
還元	かんげん	複雑なものを基本的な要素に戻して説明すること	1
遡及	そきゅう	過去にさかのぼって効力を及ぼすこと	1
収束	しゅうそく	広がっていたものが一定の状態に落ち着くこと	1
収拾	しゅうしゅう	混乱した状態をおさめること	1
収奪	しゅうだつ	他人のものを強制的に取り上げること	1
帰属	きぞく	ある集団や分類に属すること	1
紐帯	ちゅうたい	人や集団を結びつけるつながり	1
互恵	ごけい	互いに利益を与え合うこと	1
寛容	かんよう	異なる考えや立場を受け入れること	1
排斥	はいせき	受け入れず外へ追い出すこと	1
忌避	きひ	嫌って避けること	1
軋轢	あつれき	人間関係などで生じる不和や摩擦	1
確執	かくしつ	互いに譲らず続く深い不和	1
融和	ゆうわ	対立していたものが打ち解けること	1
宥和	ゆうわ	相手をなだめて対立を避けること	1
独善	どくぜん	自分だけが正しいと思い込むこと	1
独断	どくだん	他人の意見を聞かず自分だけで決めること	1
専横	せんおう	勝手気ままに権力を振るうこと	1
横暴	おうぼう	力に任せて勝手に振る舞うこと	1
専制	せんせい	少数が権力を独占して支配すること	1
迎合	げいごう	相手に気に入られるよう意見を合わせること	1
追従	ついしょう	相手の機嫌を取って従うこと	1
創発	そうはつ	要素の組合せから新しい性質が生まれること	1
萌芽	ほうが	物事が生まれ始めるきざし	1
先駆	せんく	他に先立って物事を行うこと	1
先見	せんけん	将来を見通すこと	1
機微	きび	表面には現れにくい微妙な事情や心の動き	1
婉曲	えんきょく	直接言わず遠回しに表現すること	1
露骨	ろこつ	隠さずむき出しに表すこと	1
露呈	ろてい	隠れていた事実が表に現れること	1
吐露	とろ	心の内を包み隠さず話すこと	1
開陳	かいちん	自分の意見や考えを述べること	1
詳述	しょうじゅつ	詳しく述べること	1
叙述	じょじゅつ	物事の様子や経過を順序立てて述べること	1
記述	きじゅつ	事実や内容を文章で書き表すこと	1
論述	ろんじゅつ	筋道を立てて意見を述べること	1
換言	かんげん	別の言葉に言い換えること	1
修辞	しゅうじ	言葉を効果的に表現する技法	1
冗舌	じょうぜつ	必要以上に多くしゃべること	1
簡潔	かんけつ	無駄がなく短くまとまっていること	1
簡明	かんめい	簡単ではっきりしていること	1
緻密	ちみつ	細かなところまで注意が行き届いていること	1
精緻	せいち	非常に細かく丁寧であること	1
粗雑	そざつ	細かい配慮がなく雑なこと	1
杜撰	ずさん	物事の扱いが雑でいい加減なこと	1
厳密	げんみつ	細部まで正確であいまいさがないこと	1
厳格	げんかく	規則や基準を厳しく守ること	1
厳正	げんせい	厳しく公正に行うこと	1
厳粛	げんしゅく	おごそかで心が引き締まるさま	1
簡素	かんそ	飾りが少なく簡潔なこと	1
質朴	しつぼく	飾り気がなく素直で素朴なこと	1
洗練	せんれん	無駄を省き上品で完成度を高めること	1
稚拙	ちせつ	未熟で表現や技術が幼いこと	1
拙劣	せつれつ	技術や方法が下手で劣っていること	1
巧妙	こうみょう	非常に巧みでうまくできていること	1
趣向	しゅこう	面白くするための工夫や考え	1
情緒	じょうちょ	物事に触れて生じるしみじみした感情	1
余韻	よいん	物事が終わった後にも残る味わいや印象	1
威信	いしん	社会的な信用や権威	1
威厳	いげん	堂々として人を敬わせる力	1
尊厳	そんげん	侵してはならない人や存在の価値	1
尊大	そんだい	偉そうに振る舞うこと	1
傲慢	ごうまん	自分を偉いと思い他人を見下すこと	1
不遜	ふそん	思い上がって礼儀を欠くこと	1
謙虚	けんきょ	自分を控えめにし他人の意見を受け入れること	1
揶揄	やゆ	からかうように皮肉を言うこと	1
侮辱	ぶじょく	相手の名誉や尊厳を傷つけること	1
毀損	きそん	価値や名誉などを傷つけること	1
糾明	きゅうめい	事実や責任を追及して明らかにすること	1
追及	ついきゅう	責任や原因を問い続けること	1
追究	ついきゅう	未知のことを深く調べ求めること	1
探究	たんきゅう	物事の本質を深く調べ求めること	1
究明	きゅうめい	原因や真相を詳しく調べ明らかにすること	1
核心	かくしん	物事の中心となる最も重要な部分	1
中核	ちゅうかく	物事の中心となる部分	1
根幹	こんかん	物事の最も重要な基礎	1
根底	こんてい	物事の一番下にある基本	1
基盤	きばん	物事を支える土台	1
体系化	たいけいか	ばらばらなものを筋道立ててまとめること	1
系譜	けいふ	受け継がれてきたつながりや流れ	1
源流	げんりゅう	物事の起こりや基本となる流れ	1
変革	へんかく	制度や考え方を大きく変えること	1
盛衰	せいすい	盛んになることと衰えること	1
興亡	こうぼう	栄えることと滅びること	1
隆盛	りゅうせい	非常に盛んなこと	1
衰退	すいたい	勢いや力が次第に弱くなること	1
凋落	ちょうらく	勢いや地位が急に落ちること	1
没落	ぼつらく	栄えていたものが衰え地位を失うこと	1
勃興	ぼっこう	急に勢いを増して盛んになること	1
台頭	たいとう	力をつけて目立つようになること	1
趨向	すうこう	物事が進んでいく方向	1
時流	じりゅう	その時代の大きな流れ	1
世相	せそう	その時代の社会の様子	1
慣行	かんこう	長く続いている習慣的なやり方	1
慣例	かんれい	昔から繰り返されてきた決まりややり方	1
因習	いんしゅう	古くから続き改善されにくい習慣	1
旧弊	きゅうへい	古くから残る悪い習慣	1
既成概念	きせいがいねん	すでに一般に受け入れられている考え	1
既得権益	きとくけんえき	すでに得ていて守ろうとする利益や権利	1
権益	けんえき	権利とそれによって得られる利益	1
利害	りがい	利益と損害	1
相反	そうはん	互いに反対し両立しないこと	1
両立	りょうりつ	二つのことが同時に成り立つこと	1
相乗	そうじょう	複数の要素が作用し合って効果を高めること	1
相殺	そうさい	互いの効果を打ち消し合うこと	1
相互依存	そうごいぞん	互いに相手を必要として成り立つこと	1
整合的	せいごうてき	矛盾なく全体が合っているさま	1
斉一	せいいつ	全体が同じようにそろっていること	1
画一的	かくいつてき	すべてを同じ型にはめたようなさま	1
一律	いちりつ	例外なく同じように扱うこと	1
一様	いちよう	すべて同じようであること	1
一貫	いっかん	最初から最後まで同じ方針を保つこと	1
一義的	いちぎてき	意味や解釈が一つに決まるさま	1
両義的	りょうぎてき	二つの異なる意味を同時に持つさま	1
曖昧	あいまい	意味や態度がはっきりしないこと	1
漠然	ばくぜん	はっきりせずぼんやりしていること	1
判然	はんぜん	はっきりと区別できるさま	1
明白	めいはく	疑う余地なくはっきりしていること	1
自明	じめい	説明しなくても明らかなこと	1
顕在	けんざい	はっきり表に現れていること	1
内在	ないざい	物事の内部に本質的に存在すること	1
外在	がいざい	物事の外部に存在すること	1
本源	ほんげん	物事の根本的な起源	1
根源	こんげん	物事の起こりとなる最も根本のもの	1
本来的	ほんらいてき	もともとの性質やあり方に関わるさま	1
本分	ほんぶん	その人が本来果たすべき役割	1
蓋然性	がいぜんせい	ある事柄が起こりそうな程度	1
不確実性	ふかくじつせい	将来や結果がはっきりしない性質	1
偶有性	ぐうゆうせい	必ずしもそうでなく別の可能性もある性質	1
可塑性	かそせい	外からの影響で形や性質を変えられる性質	1
可変	かへん	変えることができること	1
永続性	えいぞくせい	長く途切れず続く性質	1
一過的	いっかてき	一時的で長続きしないさま	1
断続的	だんぞくてき	途切れながら続くさま	1
非連続	ひれんぞく	途中で切れて連続していないこと	1
漸次	ぜんじ	少しずつ順を追って	1
逐次	ちくじ	順を追って次々に	1
累進	るいしん	段階的に増していくこと	1
累積	るいせき	少しずつ積み重なること	1
漸減	ぜんげん	少しずつ減ること	1
漸増	ぜんぞう	少しずつ増えること	1
急騰	きゅうとう	価格などが急に上がること	1
急落	きゅうらく	価格などが急に下がること	1
高騰	こうとう	価格などが大きく上がること	1
下落	げらく	価格や価値などが下がること	1
伸長	しんちょう	能力や勢力などが伸びること	1
拡充	かくじゅう	内容や規模を広げて充実させること	1
増進	ぞうしん	能力や状態をさらに高めること	1
減退	げんたい	勢いや力が弱くなること	1
閉塞	へいそく	行き詰まって先へ進めないこと	1
打開	だかい	困難な状況を切り開いて解決すること	1
活路	かつろ	困難を切り抜けるための道	1
窮地	きゅうち	逃げ道のない苦しい立場	1
逆境	ぎゃっきょう	物事がうまくいかない苦しい境遇	1
切迫	せっぱく	危険や期限が迫って余裕がないこと	1
緊迫	きんぱく	緊張が高まり差し迫った状態	1
喫緊	きっきん	差し迫って重要であること	1
急務	きゅうむ	急いで行う必要がある仕事	1
懸案	けんあん	以前から解決せず気にかかっている問題	1
難局	なんきょく	切り抜けるのが難しい状況	1
障壁	しょうへき	進行を妨げる大きな障害	1
制約	せいやく	自由な行動を制限する条件	1
拘束	こうそく	自由な行動を制限すること	1
拘泥	こうでい	一つのことにこだわりすぎること	1
固執	こしつ	自分の考えに強くこだわること	1
執着	しゅうちゃく	あるものに強く心をひかれて離れないこと	1
執拗	しつよう	しつこく何度も続けること	1
頑迷	がんめい	かたくなで考えを変えないこと	1
偏狭	へんきょう	考えの幅が狭く他を受け入れないこと	1
冷徹	れいてつ	感情に流されず冷静で厳しいこと	1
苛烈	かれつ	非常に厳しく激しいこと	1
過酷	かこく	耐えるのが難しいほど厳しいこと	1
熾烈	しれつ	争いなどが非常に激しいこと	1
甚大	じんだい	程度が非常に大きいこと	1
莫大	ばくだい	非常に大きな数量	1
膨大	ぼうだい	非常に多く大きいこと	1
些末	さまつ	本質的でない細かなこと	1
周縁	しゅうえん	中心から離れた周辺	1
要諦	ようてい	物事の最も大切な点	1
肝要	かんよう	非常に重要であること	1
眼目	がんもく	最も重要な点	1
実相	じっそう	物事の本当の姿	1
真相	しんそう	隠されていた本当の事情	1
真意	しんい	本当の意図や気持ち	1
意図	いと	何かをしようとする考え	1
作為	さくい	意図して手を加えること	1
無作為	むさくい	特別な意図を持たず偶然に任せること	1
任意	にんい	本人の自由な判断に任せること	1
曲解	きょっかい	意味をゆがめて解釈すること	1
誤読	ごどく	文章の意味を誤って読み取ること	1
誤謬	ごびゅう	考えや判断の誤り	1
錯覚	さっかく	実際とは違って感じたり認識したりすること	1
混迷	こんめい	混乱して進む方向が分からない状態	1
混沌	こんとん	物事が入り混じって秩序がない状態	1
雑駁	ざっぱく	内容がまとまりなく入り混じっていること	1
複雑性	ふくざつせい	多くの要素が絡み合う性質	1
多面的	ためんてき	さまざまな面を持つさま	1
多角的	たかくてき	いくつもの視点から見るさま	1
網羅	もうら	関係するものを残らず取り入れること	1
限定	げんてい	範囲や条件を限ること	1
特化	とっか	特定の分野や機能に集中すること	1
細分	さいぶん	細かく分けること	1
分節	ぶんせつ	連続したものを意味ある部分に区切ること	1
分化	ぶんか	一つだったものが異なる部分に分かれること	1
多様性	たようせい	さまざまな性質や種類が存在すること	1
多元性	たげんせい	複数の価値や原理が並び立つ性質	1
二律背反	にりつはいはん	互いに矛盾する二つの命題が成立すること	1
背反	はいはん	互いに矛盾して両立しないこと	1
首尾	しゅび	始めから終わりまでの成り行き	1
相関性	そうかんせい	二つの事柄が連動して変化する性質	1
因果律	いんがりつ	すべての結果には原因があるとする考え	1
非対称	ひたいしょう	互いに対応せず同じでないこと	1
類似	るいじ	互いによく似ていること	1
相似	そうじ	形や性質がよく似ていること	1
近似	きんじ	ほぼ同じ値や状態であること	1
寓意	ぐうい	物語などに別の意味を込めること	1
諷刺	ふうし	遠回しに社会や人を批判する表現	1
皮相	ひそう	表面だけで本質に達していないこと	1
表層	ひょうそう	物事の表面に現れている部分	1
深層	しんそう	表面からは見えない深い部分	1
深遠	しんえん	内容が非常に深く簡単には理解できないこと	1
難解	なんかい	理解するのが難しいこと	1
晦渋	かいじゅう	文章や表現が難しく分かりにくいこと	1
平易	へいい	内容や表現がやさしく分かりやすいこと	1
平明	へいめい	分かりやすく明快であること	1
明晰	めいせき	考えや内容がはっきりしていること	1
鮮明	せんめい	はっきりしていて明らかなこと	1
卓越	たくえつ	他より抜きん出て優れていること	1
卓見	たっけん	優れた見識や意見	1
慧眼	けいがん	物事の本質を見抜く鋭い眼力	1
洞察	どうさつ	物事の本質を深く見抜くこと	1
識見	しきけん	物事を正しく判断する優れた見識	1
見識	けんしき	物事を見抜き判断する考え	1
知見	ちけん	調査や経験によって得た知識や見解	1
叡智	えいち	深く優れた知恵	1
機知	きち	その場に応じて素早く働く知恵	1
機転	きてん	その場の状況に応じて素早く対応すること	1
才覚	さいかく	物事をうまく処理する知恵や能力	1
英断	えいだん	優れた思い切った決断	1
推察	すいさつ	事情を推し量って考えること	1
推量	すいりょう	様子からおおよその事情を考えること	1
憶測	おくそく	確かな根拠なく推測すること	1
予断	よだん	十分な根拠なく前もって判断すること	1
早計	そうけい	十分考えず急いで判断すること	1
軽率	けいそつ	よく考えずに行動すること	1
熟慮	じゅくりょ	十分に時間をかけて深く考えること	1
熟考	じゅっこう	よく考え抜くこと	1
思慮	しりょ	注意深く考えること	1
深謀遠慮	しんぼうえんりょ	遠い将来まで見通して深く計画すること	1
思案	しあん	どうするか考えること	1
熟議	じゅくぎ	十分に議論すること	1
協議	きょうぎ	関係者が話し合うこと	1
審議	しんぎ	内容を詳しく検討して話し合うこと	1
評議	ひょうぎ	集まって相談し意見を決めること	1
審査	しんさ	基準に照らして詳しく調べ判断すること	1
査定	さてい	内容を調べて価値などを決めること	1
鑑定	かんてい	専門知識で価値や真偽を判断すること	1
鑑別	かんべつ	違いを見分けて区別すること	1
識別	しきべつ	違いを見分けること	1
弁別	べんべつ	違いを見分け区別すること	1
判別	はんべつ	違いを判断して分けること	1
吟味	ぎんみ	詳しく調べてよく考えること	1
精査	せいさ	細かいところまで詳しく調べること	1
監査	かんさ	業務や会計が正しく行われているか調べること	1
観測	かんそく	現象を測定し記録すること	1
推計	すいけい	資料やデータからおおよその値を計算すること	1
概算	がいさん	おおよその数値を計算すること	1
算定	さんてい	計算して数値を決めること	1
同定	どうてい	対象が何であるかを特定すること	1
確定	かくてい	内容や結果を最終的に決めること	1
確立	かくりつ	しっかりとした形や地位を作り上げること	1
定立	ていりつ	考えや命題を明確に打ち立てること	1
定式化	ていしきか	考えや法則を一定の形式で表すこと	1
制度化	せいどか	仕組みや慣行を正式な制度にすること	1
常態化	じょうたいか	一時的だった状態が普通の状態になること	1
固定化	こていか	状態や考えが変わらず固まること	1
硬直化	こうちょくか	柔軟さを失って変化しにくくなること	1
融通	ゆうずう	状況に応じて柔軟に対応すること	1
機動性	きどうせい	状況に応じて素早く行動できる性質	1
即応	そくおう	その場の状況にすぐ応じること	1
臨機応変	りんきおうへん	状況に応じて適切に対応すること	1
泰然	たいぜん	落ち着いていて物事に動じないさま	1
沈着	ちんちゃく	落ち着いていて冷静なこと	1
動揺	どうよう	心や状態が不安定になること	1
狼狽	ろうばい	あわてふためくこと	1
当惑	とうわく	どうしたらよいか分からず困ること	1
困惑	こんわく	判断や対応に迷って困ること	1
躊躇	ちゅうちょ	決断や行動をためらうこと	1
煩悶	はんもん	悩み苦しむこと	1
懊悩	おうのう	深く悩み苦しむこと	1
苦悩	くのう	精神的に深く悩み苦しむこと	1
憂愁	ゆうしゅう	もの悲しく沈んだ気持ち	1
憂鬱	ゆううつ	気分が沈み晴れないこと	1
危惧	きぐ	悪い結果になることを心配すること	1
懸念	けねん	心配して気にかけること	1
杞憂	きゆう	必要のないことを心配すること	1
疑念	ぎねん	本当かどうか疑う気持ち	1
疑義	ぎぎ	内容に疑わしい点があること	1
疑惑	ぎわく	不正などがあるのではないかという疑い	1
確信	かくしん	間違いないと強く信じること	1
信念	しんねん	正しいと固く信じる考え	1
信条	しんじょう	日頃から正しいと信じ守っている考え	1
盲信	もうしん	理由を考えずむやみに信じること	1
傾倒	けいとう	ある人物や思想に強く心を寄せること	1
傾注	けいちゅう	一つのことに心や力を集中すること	1
没頭	ぼっとう	一つのことに夢中になること	1
専念	せんねん	一つのことに集中して取り組むこと	1
